especie_cod,especie,nombre_cientifico,genero,grupo,habito,arboreo,origen,confianza_origen,monumento_natural,decreto_mn,invasora,estado_conservacion_RCE
Ez,guindo santo,Ephedra chilensis,Ephedra,Gimnosperma,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Em,pingo pingo,Ephedra multiflora,Ephedra,Gimnosperma,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
yg,Equisetum bogotense,Equisetum bogotense,Equisetum,Helecho,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ex,Yerba de la plata,Equisetum giganteum,Equisetum,Helecho,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
e10,Eragrostis nigricans,Eragrostis nigricans,Eragrostis,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
E4,Eremodraba intricatissima,Eremodraba intricatissima,Eremodraba,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
eb,alfilerillo,Erodium botrys,Erodium,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
ec,alfilerillo,Erodium cicutarium,Erodium,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
e18,Erodium malacoides,Erodium malacoides,Erodium,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
eh,alfilerillo,Erodium moschatum,Erodium,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
ep,Eryngium paniculatum,Eryngium paniculatum,Eryngium,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ep,Escallonia alpina,Escallonia alpina,Escallonia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Eg,Escallonia angustifolia,Escallonia angustifolia,Escallonia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
EH,barraco,Escallonia illinita,Escallonia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
EM,lun,Escallonia myrtoidea,Escallonia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
EP,madroño,Escallonia pulverulenta,Escallonia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ER,madroño,Escallonia revoluta,Escallonia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ep1,Escallonia rosea,Escallonia rosea,Escallonia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Eo,siete camisas,Escallonia rubra,Escallonia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
E5,Escallonia serrata,Escallonia serrata,Escallonia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ep2,Escallonia sp.,Escallonia sp.,Escallonia,Latifoliada,Arbol,Sí,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ev,mata negra,Escallonia virgata,Escallonia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ef,dedal de oro,Eschscholzia californica,Eschscholzia,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
EU,eucalipto,Eucalyptus camaldulensis,Eucalyptus,Latifoliada,Arbol,Sí,Exotica,alta,No,No aplica,Sí,Sin dato - no verificado en RCE
ED,eucalipto,Eucalyptus delegatensis,Eucalyptus,Latifoliada,Arbol,Sí,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
EG,eucalipto,Eucalyptus globulus,Eucalyptus,Latifoliada,Arbol,Sí,Exotica,alta,No,No aplica,Sí,Sin dato - no verificado en RCE
NI,eucalipto,Eucalyptus nitens,Eucalyptus,Latifoliada,Arbol,Sí,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
AH,eucalipto,Eucalyptus regnans,Eucalyptus,Latifoliada,Arbol,Sí,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
EW,eucalipto,Eucalyptus sp.,Eucalyptus,Latifoliada,Arbol,Sí,Exotica,media,No,No aplica,No,Sin dato - no verificado en RCE
EV,eucalipto,Eucalyptus viminalis,Eucalyptus,Latifoliada,Arbol,Sí,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
EC,ulmo,Eucryphia cordifolia,Eucryphia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
eU,copao,Eulychnia acida,Eulychnia,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
eB,rumpa,Eulychnia breviflora,Eulychnia,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
eX,Eulychnia castanea,Eulychnia castanea,Eulychnia,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
eC1,Eulychnia chorosensis,Eulychnia chorosensis,Eulychnia,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
eI,Eulychnia iquiquensis,Eulychnia iquiquensis,Eulychnia,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
eM,rumpa,Eulychnia morromorenoensis,Eulychnia,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
eS,Eulychnia saint-pieana,Eulychnia saint-pieana,Eulychnia,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
eZ,Eulychnia sp.,Eulychnia sp.,Eulychnia,Latifoliada,Cactacea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
eT1,Eulychnia taltalensis,Eulychnia taltalensis,Eulychnia,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Es,pegajoso,Eupatorium salvium,Eupatorium,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
en,Euphorbia collina,Euphorbia collina,Euphorbia,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
El,lechero,Euphorbia lactiflua,Euphorbia,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Fb,koa,Fabiana bryoides,Fabiana,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Fd,Tara,Fabiana densa,Fabiana,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Fa,alma tola,Fabiana denudata,Fabiana,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Fi,pichi,Fabiana imbricata,Fabiana,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Fw,Fabiana ramulosa,Fabiana ramulosa,Fabiana,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
F1,Fabiana sp.,Fabiana sp.,Fabiana,Latifoliada,Arbusto,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
Fq,Fabiana squamata,Fabiana squamata,Fabiana,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Fs,Fabiana stephanii,Fabiana stephanii,Fabiana,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Fz,Fabiana viscosa,Fabiana viscosa,Fabiana,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
fs,Fagonia chilensis,Fagonia chilensis,Fagonia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
fa,coirón,Festuca acanthophylla,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
fr,coirón,Festuca argentina,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
f5,Festuca arundinacea,Festuca arundinacea,Festuca,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
fe,Paja brava,Festuca chrysophylla,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
f14,Festuca contracta,Festuca contracta,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
f3,Waiya,Festuca deserticola,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
fg,coirón,Festuca gracillima,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
fh,chillagua,Festuca hypsophila,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
fk,coirón,Festuca kurtziana,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
fm,Festuca magellanica,Festuca magellanica,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
fn,Festuca nardifolia,Festuca nardifolia,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
f10,Festuca orthophylla,Festuca orthophylla,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
fo,Paja brava,Festuca orthophylla,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
fp,coirón,Festuca pallescens,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
f12,Festuca purpurascens,Festuca purpurascens,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
f4,Festuca rigidifolia,Festuca rigidifolia,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
fb,Festuca rubra,Festuca rubra,Festuca,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
fx,Festuca sp.,Festuca sp.,Festuca,Monocotiledonea,Graminea,No,Nativa,baja,No,No aplica,No aplica,Sin dato - no verificado en RCE
f7,Festuca tunicata,Festuca tunicata,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
f8,Festuca werdermannii,Festuca werdermannii,Festuca,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
FC,alerce,Fitzroya cupressoides,Fitzroya,Conifera,Arbol,Sí,Nativa,alta,Sí,D.S. 490/1976 MINAGRI,No aplica,En Peligro
Ft,incienso,Flourensia thurifera,Flourensia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Fc,hierba de la sal,Frankenia chilensis,Frankenia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
f9,Frankenia salina,Frankenia salina,Frankenia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Fk,llaretilla,Frankenia triandra,Frankenia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Fl,palo falso,Fuchsia lycioides,Fuchsia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Fm,chilco,Fuchsia magellanica,Fuchsia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
fi,Fuertesimalva chilensis,Fuertesimalva chilensis,Fuertesimalva,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
fa1,Fumaria agraria,Fumaria agraria,Fumaria,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
ga,galega,Galega officinalis,Galega,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
gd,Galium aparine,Galium aparine,Galium,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
Yñ,Gaultheria mucronata,Gaultheria mucronata,Gaultheria,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Gp,chaura común,Gaultheria phillyreifolia,Gaultheria,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Gp1,Gaultheria poeppigii,Gaultheria poeppigii,Gaultheria,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
g14,chaura,Gaultheria pumila,Gaultheria,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Gm,retamilla,Genista monspessulana,Genista,Latifoliada,Arbusto,No,Exotica,alta,No,No aplica,Sí,Sin dato - no verificado en RCE
GD,chañar,Geoffroea decorticans,Geoffroea,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
GA,avellano,Gevuina avellana,Gevuina,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
v10,Glandularia gynobasis,Glandularia gynobasis,Glandularia,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
gr,Gnaphalium robustum,Gnaphalium robustum,Gnaphalium,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
gv,vira vira,Gnaphalium viravira,Gnaphalium,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Gf,mira mira,Gochnatia fascicularis,Gochnatia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
G11,Gochnatia foliolosa,Gochnatia foliolosa,Gochnatia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
G13,yelmo,Griselinia scandens,Griselinia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Vt,guindilla,Guindilia trinervis,Guindilia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
gc,Gunnera chilensis,Gunnera chilensis,Gunnera,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
gm,Gunnera magellanica,Gunnera magellanica,Gunnera,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
gt,pangue,Gunnera tinctoria,Gunnera,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
G14,Gutierrezia espinosae,Gutierrezia espinosae,Gutierrezia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Gu,Gutierrezia gayana,Gutierrezia gayana,Gutierrezia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
G17,Gutierrezia neaeana,Gutierrezia neaeana,Gutierrezia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Gr,pichanilla,Gutierrezia resinosa,Gutierrezia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
G15,Guynesomia scoparia,Guynesomia scoparia,Guynesomia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Gl,Gymnophyton foliosum,Gymnophyton foliosum,Gymnophyton,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Gi,bio bio,Gymnophyton isatidicarpum,Gymnophyton,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Gy,Gymnophyton robustum,Gymnophyton robustum,Gymnophyton,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
G16,Gymnophyton sp.,Gymnophyton sp.,Gymnophyton,Latifoliada,Hierba,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
Gz,Gypothamnium pinifolium,Gypothamnium pinifolium,Gypothamnium,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ha,Haplopappus angustifolius,Haplopappus angustifolius,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
hb,Haplopappus arbutoides,Haplopappus arbutoides,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Hb,bailahuén,Haplopappus baylahuen,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ho,Haplopappus cerberoanus,Haplopappus cerberoanus,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
H2,Haplopappus diplopappus,Haplopappus diplopappus,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Hf,cacho de cabra,Haplopappus foliosus,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Hi,Haplopappus integerrimus,Haplopappus integerrimus,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
H3,Haplopappus kingii,Haplopappus kingii,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
H5,Haplopappus linifolius,Haplopappus linifolius,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Hk,Haplopappus macraeanus,Haplopappus macraeanus,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
hm,Haplopappus macrocephalus,Haplopappus macrocephalus,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Uy,Haplopappus meyenii,Haplopappus meyenii,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Uu,Haplopappus mucronatus,Haplopappus mucronatus,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Hv,crespilla,Haplopappus parvifolius,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Hu,Haplopappus pulchellus,Haplopappus pulchellus,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Hg,bailahuén,Haplopappus remyanus,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Yt,Haplopappus rengifoanus,Haplopappus rengifoanus,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
H9,Haplopappus saxatilis,Haplopappus saxatilis,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
H10,Haplopappus scrobiculatus,Haplopappus scrobiculatus,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Jk,Haplopappus sp.,Haplopappus sp.,Haplopappus,Latifoliada,Arbusto,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
Hc,Haplopappus uncinatus,Haplopappus uncinatus,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Hd,Haplopappus velutinus,Haplopappus velutinus,Haplopappus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ma,manzanilla del campo,Helenium aromaticum,Helenium,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
ht,Helenium atacamense,Helenium atacamense,Helenium,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
hn,Helenium urmenetae,Helenium urmenetae,Helenium,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
Hx,Heliotropium chenopodiaceum,Heliotropium chenopodiaceum,Heliotropium,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
H19,Heliotropium filifolium,Heliotropium filifolium,Heliotropium,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Hl,Heliotropium floridum,Heliotropium floridum,Heliotropium,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
H16,Heliotropium huascoense,Heliotropium huascoense,Heliotropium,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
H15,Heliotropium inconspicuum,Heliotropium inconspicuum,Heliotropium,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
H17,Heliotropium linariifolium,Heliotropium linariifolium,Heliotropium,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Hm,Heliotropium myosotifolium,Heliotropium myosotifolium,Heliotropium,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Hp,Heliotropium pycnophyllum,Heliotropium pycnophyllum,Heliotropium,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
He,Heliotropium sinuatum,Heliotropium sinuatum,Heliotropium,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Hz,Heliotropium sp.,Heliotropium sp.,Heliotropium,Latifoliada,Arbusto,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
Pa,palo negro,Heliotropium stenophyllum,Heliotropium,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
hh,Herniaria hirsuta,Herniaria hirsuta,Herniaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
h17,Hieracium pilosella,Hieracium pilosella,Hieracium,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
h18,Hieracium sp.,Hieracium sp.,Hieracium,Latifoliada,Hierba,No,Exotica,media,No,No aplica,No,Sin dato - no verificado en RCE
hñ,Hierochloe redolens,Hierochloe redolens,Hierochloe,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
hk,mostaza yuyo,Hirschfeldia incana,Hirschfeldia,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
h15,Hoffmannseggia eremophila,Hoffmannseggia eremophila,Hoffmannseggia,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
hl,pasto miel,Holcus lanatus,Holcus,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
hj,Homalocarpus nigripetalus,Homalocarpus nigripetalus,Homalocarpus,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
hc,Hordeum chilense,Hordeum chilense,Hordeum,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
hs,Hordeum comosum,Hordeum comosum,Hordeum,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
hi,Hordeum murinum,Hordeum murinum,Hordeum,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
h3,Hordeum pubiflorum,Hordeum pubiflorum,Hordeum,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
h20,Hordeum pubiflorum,Hordeum pubiflorum,Hordeum,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
hx,Hordeum sp.,Hordeum sp.,Hordeum,Monocotiledonea,Graminea,No,Sin determinar,baja,No,No aplica,No aplica,Sin dato - no verificado en RCE
h13,Hordeum vulgare,Hordeum vulgare,Hordeum,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
h4,Huidobria chilensis,Huidobria chilensis,Huidobria,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
H14,Huidobria fruticosa,Huidobria fruticosa,Huidobria,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
h16,Hydrocotyle sp.,Hydrocotyle sp.,Hydrocotyle,Latifoliada,Hierba,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
h22,Hymenophyllum pectinatum,Hymenophyllum pectinatum,Hymenophyllum,Helecho,Helecho,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
h24,Hymenophyllum tortuosum,Hymenophyllum tortuosum,Hymenophyllum,Helecho,Helecho,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
hr,hierba del chancho,Hypochaeris radicata,Hypochaeris,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
h31,Hypochaeris sp.,Hypochaeris sp.,Hypochaeris,Latifoliada,Hierba,No,Exotica,media,No,No aplica,No,Sin dato - no verificado en RCE
h11,Psikepsike,Hypochaeris taraxacoides,Hypochaeris,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
i10,Isolepis cernua,Isolepis cernua,Isolepis,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
i12,Isolepis sp.,Isolepis sp.,Isolepis,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
j2,Jamesoniella sp.,Jamesoniella sp.,Jamesoniella,Briofita,Briofita,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
JC,palma chilena,Jubaea chilensis,Jubaea,Monocotiledonea,Palma,Sí,Nativa,alta,No,No aplica,No aplica,Vulnerable
jn,Juncus acutus,Juncus acutus,Juncus,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
jb,Juncus balticus,Juncus balticus,Juncus,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
jd,Juncus dichotomus,Juncus dichotomus,Juncus,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
